秀逗魔导士,8.8,松本保典 绿川光 石田彰 冬马由美 林原惠美,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2452057556.jpg,https://movie.douban.com/subject/1766522/
食灵：零,8.3,水原薫 茅原实里 若本规夫 麦人 田中凉子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2326336964.jpg,https://movie.douban.com/subject/3136371/
十二生肖守护神,8.7,坂本千夏 森川智之 星野充昭 冰上恭子 纳谷六朗,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509139506.jpg,https://movie.douban.com/subject/2295831/
格雷少年,8.1,小林沙苗 青野武 樱井孝宏 小西克幸 铃村健一,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2257390799.jpg,https://movie.douban.com/subject/1986035/
天空战记,8.8,关俊彦 水谷优子 子安武人 井上和彦 松本保典,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508637726.jpg,https://movie.douban.com/subject/1481828/
不思议游戏,8.0,荒木香惠 冬马由美 绿川光 子安武人 坂本千夏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2326503456.jpg,https://movie.douban.com/subject/1465786/
打工吧！魔王大人,7.9,逢坂良太 日笠阳子 东山奈央 小野友树 下野纮,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1984740667.jpg,https://movie.douban.com/subject/19975083/
圣魔之血,7.9,东地宏树 能登麻美子 生天目仁美 本田贵子 诹访部顺一,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2260259490.jpg,https://movie.douban.com/subject/1769531/
绝园的暴风雨,7.5,内山昂辉 丰永利行 泽城美雪 水树奈奈 小山力也,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1756374955.jpg,https://movie.douban.com/subject/4202196/
夜行神龙 第一季,8.5,凯斯·大卫 莎莉·理查德森 乔纳森·弗雷克斯 爱德华·阿斯纳 玛丽娜·赛提斯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494978506.jpg,https://movie.douban.com/subject/1484420/
不死者之王,8.0,日野聪 原由实 上坂堇 加藤英美里 内山夕实,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2249151473.jpg,https://movie.douban.com/subject/25972406/
伯爵与妖精,6.8,水樹奈々 緑川光 杉田智和,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2260271837.jpg,https://movie.douban.com/subject/3231670/
蜘蛛侠 第一季,7.6,Christopher Daniel Barnes Linda Gary 加里·英霍夫 爱德华·阿斯纳 罗斯科·李·布朗尼,https://img3.doubanio.com/view/subject/l/public/s3602983.jpg,https://movie.douban.com/subject/2174533/
潘朵拉之心,7.5,皆川纯子 川澄绫子 石田彰 花泽香菜 福山润,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2260256533.jpg,https://movie.douban.com/subject/3387439/
蔷薇少女,7.7,沢城みゆき 真田アサミ 田中理惠,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159617790.jpg,https://movie.douban.com/subject/1918696/
魔法禁书目录2,7.3,阿部敦 井口裕香 佐藤利奈 新井里美 冈本信彦,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190191801.jpg,https://movie.douban.com/subject/4848113/
翼·年代记,7.7,入野自由 牧野由依 稲田彻 浪川大辅 菊地美香,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2228432764.jpg,https://movie.douban.com/subject/1468983/
剑风传奇,9.1,神奈延年 森川智之 宫村优子 石田彰 高山南,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2326435580.jpg,https://movie.douban.com/subject/4089438/
七鬼神,7.3,斋贺光希 诹访部顺一 千叶进步 宫田幸季 速水奖,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2374478388.jpg,https://movie.douban.com/subject/3736737/
魔卡少女樱 透明牌篇,8.3,丹下樱 熊井统子 岩男润子 绪方惠美 久川绫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510628384.jpg,https://movie.douban.com/subject/26923124/
僵尸借贷,7.1,铃村健一 樱井孝宏 桑岛法子 斋藤千和 诹访部顺一,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2509240519.jpg,https://movie.douban.com/subject/2333001/
零之使魔,7.0,釘宮理恵 日野聡 堀江由衣 櫻井孝宏 猪口有佳,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2260271922.jpg,https://movie.douban.com/subject/2008194/
灼眼的夏娜2,7.4,钉宫理恵 日野聡 江原正士 川澄绫子 樱井智,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2237886420.jpg,https://movie.douban.com/subject/2277188/
抓鬼天狗帮,7.3,宫田幸季 樱井孝宏 保志总一朗 南央美 飞田展男,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2509239829.jpg,https://movie.douban.com/subject/2303739/
罗德斯岛战记,8.8,草尾毅 冬馬由美 坂口芳貞 山口勝平,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2326435517.jpg,https://movie.douban.com/subject/1765782/
